id,title,description,availability,condition,price,image_link,brand,additional_image_link,product_type,custom_label_0,custom_label_1,custom_label_2
hainaauto-manual-cadillac-escalade-v-2026,2026 Cadillac Escalade-V 6.2L Supercharged AWD,"2026 · Cadillac · Escalade-V 6.2L Supercharged · 2,000 km · Aegean Stone Metallic · 10-speed automatic · Located in United States. Stock HA-manual-cadillac-escalade-v-2026. Sourced from China with full export support from HainaAuto.",in stock,new,124400.00 USD,https://www.nindgeauto.com/api/vehicle-image/hainaauto/manual-cadillac-escalade-v-2026/10.jpg,Cadillac,"https://www.nindgeauto.com/api/vehicle-image/hainaauto/manual-cadillac-escalade-v-2026/11.jpg,https://www.nindgeauto.com/api/vehicle-image/hainaauto/manual-cadillac-escalade-v-2026/12.jpg,https://www.nindgeauto.com/api/vehicle-image/hainaauto/manual-cadillac-escalade-v-2026/13.jpg,https://www.nindgeauto.com/api/vehicle-image/hainaauto/manual-cadillac-escalade-v-2026/14.jpg,https://www.nindgeauto.com/api/vehicle-image/hainaauto/manual-cadillac-escalade-v-2026/15.jpg,https://www.nindgeauto.com/api/vehicle-image/hainaauto/manual-cadillac-escalade-v-2026/16.jpg,https://www.nindgeauto.com/api/vehicle-image/hainaauto/manual-cadillac-escalade-v-2026/17.jpg,https://www.nindgeauto.com/api/vehicle-image/hainaauto/manual-cadillac-escalade-v-2026/18.jpg,https://www.nindgeauto.com/api/vehicle-image/hainaauto/manual-cadillac-escalade-v-2026/01.jpg,https://www.nindgeauto.com/api/vehicle-image/hainaauto/manual-cadillac-escalade-v-2026/02.jpg",SUVs & Off-Road > Cadillac > Escalade-V 6.2L Supercharged,SUVs & Off-Road,priority_01_suvs,price_10000_plus
hainaauto-613759337,2024 Toyota Highlander 2.0T 380T 4WD Premium 7-Seater Automatic,"2024 · Toyota · Highlander 2.0T 380T · 3,750 km · black · automatic · Located in Sichuan. Stock HA-613759337. Sourced from China with full export support from HainaAuto.",in stock,used,14848.81 USD,https://www.nindgeauto.com/api/vehicle-image/hainaauto/613759337/col_7aed54656c7b786e.webp,Toyota,"https://www.nindgeauto.com/api/vehicle-image/hainaauto/613759337/col_05aaa7c91acae697.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/613759337/col_3ab4ac7585df8df2.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/613759337/col_daabbdfd3f8a61c9.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/613759337/col_9972d415223d7f7c.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/613759337/col_9cbbb6fbb3d576b6.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/613759337/col_53b813012455b9af.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/613759337/col_94dc638816391b82.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/613759337/col_2260bb451aec7c72.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/613759337/col_52b66adc4cefb455.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/613759337/col_0b44805e5ce3ac60.webp",SUVs & Off-Road > Toyota > Highlander 2.0T 380T,SUVs & Off-Road,priority_01_suvs,price_10000_plus
hainaauto-134619842,Toyota 2023 Highlander Hybrid 2.5L CVT Intelligent Electric Hybrid AWD Premium Edition 7-seater Automatic Transmission,"2023 · Toyota · 2023 Highlander Hybrid · 33,333 km · black · automatic · Located in Liaoning. Stock HA-134619842. Sourced from China with full export support from HainaAuto.",in stock,used,13898.05 USD,https://www.nindgeauto.com/api/vehicle-image/hainaauto/134619842/col_4cf592053ccdd6c7.webp,Toyota,"https://www.nindgeauto.com/api/vehicle-image/hainaauto/134619842/col_d5e8dde5716968d9.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/134619842/col_e1e799287fa049fc.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/134619842/col_3e78d72c091fb2a8.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/134619842/col_cc127f3b62c6f0dd.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/134619842/col_d15359080de53f90.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/134619842/col_a4af239a29de9e9e.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/134619842/col_9e03846b6aa69598.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/134619842/col_94dc638816391b82.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/134619842/col_2260bb451aec7c72.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/134619842/col_52b66adc4cefb455.webp",SUVs & Off-Road > Toyota > 2023 Highlander Hybrid,SUVs & Off-Road,priority_01_suvs,price_10000_plus
hainaauto-55163245,Lexus NX 2023 260 AWD Skyactiv Edition,"2023 · Lexus · NX 2023 260 · 12,167 km · White · 8-speed automatic transmission · Located in Hainan. Stock HA-55163245. Sourced from China with full export support from HainaAuto.",in stock,used,13848.01 USD,https://www.nindgeauto.com/api/vehicle-image/hainaauto/55163245/col_560f88ce808f9837.webp,Lexus,"https://www.nindgeauto.com/api/vehicle-image/hainaauto/55163245/col_a8947fc65fde7d47.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/55163245/col_efff9d2c43e83694.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/55163245/col_b018a2a15b72f354.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/55163245/col_94fdaac1dca95b4e.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/55163245/col_a3b0df05a02d3005.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/55163245/col_886b1608d88aa5b7.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/55163245/col_65d32c3400f833f4.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/55163245/col_25c8cc52aea05888.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/55163245/col_b6680d6b0399f22d.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/55163245/col_7dc6a249de9c16aa.webp",SUVs & Off-Road > Lexus > NX 2023 260,SUVs & Off-Road,priority_01_suvs,price_10000_plus
hainaauto-07867731,Chery Tiggo 9 2023 2.0T Automatic 4WD Premium Edition 7-Seater,"2023 · Chery · Tiggo 9 2023 · 3,333 km · grey · 8-speed automatic transmission · Located in Yunnan. Stock HA-07867731. Sourced from China with full export support from HainaAuto.",in stock,used,10205.10 USD,https://www.nindgeauto.com/api/vehicle-image/hainaauto/07867731/col_c9ac37c44eb7ba48.webp,Chery,"https://www.nindgeauto.com/api/vehicle-image/hainaauto/07867731/col_70ab1195c1ec5178.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/07867731/col_3cb36cacfb2b2248.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/07867731/col_8fe37a3c9c7ed89c.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/07867731/col_2bf2d5fcf4bfe099.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/07867731/col_f5d64b8ae30a9c54.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/07867731/col_76f3bc473e8a34c1.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/07867731/col_d1ebc282658492a8.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/07867731/col_c30cb045ee07a3a7.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/07867731/col_4a2c7327ccb0a6c4.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/07867731/col_aaaa196b0a3a1586.webp",SUVs & Off-Road > Chery > Tiggo 9 2023,SUVs & Off-Road,priority_01_suvs,price_10000_plus
hainaauto-10399792,Fangchengbao 2025 Titanium 3 501KM AWD Smart Drive Max Edition Automatic Transmission,"2025 · Fangchengbao · 2025 Titanium 3 · 6,250 km · grey · automatic · Located in Yunnan. Stock HA-10399792. Sourced from China with full export support from HainaAuto.",in stock,used,10905.66 USD,https://www.nindgeauto.com/api/vehicle-image/hainaauto/10399792/col_70040ab902925ea0.webp,Fangchengbao,"https://www.nindgeauto.com/api/vehicle-image/hainaauto/10399792/col_1369af04648cf9cf.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/10399792/col_d3e740cd01795ced.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/10399792/col_579c39a079d7c5d0.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/10399792/col_46572d8ff1e7d004.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/10399792/col_1ef369685c6703cd.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/10399792/col_f556a217fdf1d09b.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/10399792/col_61c6dced2525aee7.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/10399792/col_52ad564fc5ad2e86.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/10399792/col_ab6b283daccb9375.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/10399792/col_bf15634dfcda3203.webp",SUVs & Off-Road > Fangchengbao > 2025 Titanium 3,SUVs & Off-Road,priority_01_suvs,price_10000_plus
hainaauto-988910816,Lynk & Co 2024 Lynk & Co 09 MHEV 2.0T AWD Sport Edition 5-Seater Automatic,"2024 · Lynk · & Co 2024 · 16,667 km · black · automatic · Located in Shaanxi. Stock HA-988910816. Sourced from China with full export support from HainaAuto.",in stock,used,11406.06 USD,https://www.nindgeauto.com/api/vehicle-image/hainaauto/988910816/col_da049dd6ae5ccab1.webp,Lynk,"https://www.nindgeauto.com/api/vehicle-image/hainaauto/988910816/col_a823c582275bc0ca.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/988910816/col_fa037690d00c1a34.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/988910816/col_dc3c94c473933d7e.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/988910816/col_9207a89f1d8bc278.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/988910816/col_f4a1943e42551514.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/988910816/col_25029b096fb2e16f.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/988910816/col_f6a8995c764db2a2.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/988910816/col_7933eddbd1d7c598.webp",SUVs & Off-Road > Lynk > & Co 2024,SUVs & Off-Road,priority_01_suvs,price_10000_plus
hainaauto-344612946,2024 Nissan X-Trail 2.0T 380 VC-TURBO 4WD Intelligent Drive Edition 7-Seater Automatic,"2024 · Nissan · X-Trail 2.0T 380 · 9,167 km · black · automatic · Located in Jiangsu. Stock HA-344612946. Sourced from China with full export support from HainaAuto.",in stock,used,11906.46 USD,https://www.nindgeauto.com/api/vehicle-image/hainaauto/344612946/col_9ee1f3328141a60e.webp,Nissan,"https://www.nindgeauto.com/api/vehicle-image/hainaauto/344612946/col_f2bb0dd970174943.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/344612946/col_643a1bbd5679b20a.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/344612946/col_1b4c0a03dbece22f.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/344612946/col_dfc613404fb6842a.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/344612946/col_872cf44789deddbd.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/344612946/col_b71f9c75c40ccf0d.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/344612946/col_909b9e028e7fa388.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/344612946/col_bd98affdd6b022d0.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/344612946/col_113083fe5284dcef.webp",SUVs & Off-Road > Nissan > X-Trail 2.0T 380,SUVs & Off-Road,priority_01_suvs,price_10000_plus
hainaauto-522413944,"Chery iCAR 03 2024 model, 472km range, four-wheel drive long-range version","2024 · Chery · iCAR 03 2024 · 22,917 km · green · automatic · Located in Liaoning. Stock HA-522413944. Sourced from China with full export support from HainaAuto.",in stock,used,7653.06 USD,https://www.nindgeauto.com/api/vehicle-image/hainaauto/522413944/col_e6b4460219ca05e8.webp,Chery,"https://www.nindgeauto.com/api/vehicle-image/hainaauto/522413944/col_6a4ae1712a892eb9.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/522413944/col_ae520df7f61c17ac.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/522413944/col_c4da255f234a7af1.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/522413944/col_83c25c2d7f883043.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/522413944/col_48a4dcf636666b69.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/522413944/col_c55a11cd6bd919bf.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/522413944/col_67dcb6bb9287b348.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/522413944/col_7e16b11b85cc5ddb.webp",SUVs & Off-Road > Chery > iCAR 03 2024,SUVs & Off-Road,priority_01_suvs,price_under_10000
hainaauto-931315441,Denza N8 2023 All-Wheel Drive Super Hybrid Flagship Six-Seater Edition,"2023 · Denza · N8 2023 All-Wheel · 4,583 km · grey · E-CVT continuously variable transmission · Located in Hebei. Stock HA-931315441. Sourced from China with full export support from HainaAuto.",in stock,used,18201.49 USD,https://www.nindgeauto.com/api/vehicle-image/hainaauto/931315441/col_26fb009dc9ca20a3.webp,Denza,"https://www.nindgeauto.com/api/vehicle-image/hainaauto/931315441/col_a7ce9fcab5bffc33.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/931315441/col_6ca3fd40652b04ba.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/931315441/col_a61b802e4ff12018.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/931315441/col_bd6c8ccaade3693c.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/931315441/col_291c15a4cea7f154.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/931315441/col_56115851a0e96047.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/931315441/col_d0c516584772678d.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/931315441/col_85d3cafa3a2f5b99.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/931315441/col_092cee1a98754ac2.webp,https://www.nindgeauto.com/api/vehicle-image/hainaauto/931315441/col_571595be8ed49314.webp",SUVs & Off-Road > Denza > N8 2023 All-Wheel,SUVs & Off-Road,priority_01_suvs,price_10000_plus
